Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Variant Inventory Tracker,Variant Inventory Policy,Variant Inventory Qty,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,product.metafields.color_flex.base_url,product.metafields.color_flex.collection,product.metafields.color_flex.pattern,product.metafields.color_flex.layer_count,product.metafields.color_flex.layer_labels,product.metafields.color_flex.pattern_size,product.metafields.color_flex.tiling_type,product.metafields.color_flex.designer_colors
botanicals-clo-1-key-largo,Key Largo,<p>Key Largo clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-key-largo,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/key-largo.jpg,1,Key Largo clothing pattern thumbnail,Key Largo - Botanicals (CLO-1) Clothing | ColorFlex,Key Largo clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,key-largo,6,"Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf",24x24,half-drop,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
botanicals-clo-1-shadow-dance,Shadow Dance,<p>Shadow Dance clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-shadow-dance,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/shadow-dance.jpg,1,Shadow Dance clothing pattern thumbnail,Shadow Dance - Botanicals (CLO-1) Clothing | ColorFlex,Shadow Dance clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,shadow-dance,2,"Shadows,Flower",24x24,straight,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
botanicals-clo-1-tall-lilly-plant,Tall Lilly Plant,<p>Tall Lilly Plant clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-tall-lilly-plant,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/tall-lilly-plant.jpg,1,Tall Lilly Plant clothing pattern thumbnail,Tall Lilly Plant - Botanicals (CLO-1) Clothing | ColorFlex,Tall Lilly Plant clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,tall-lilly-plant,4,"Texture,Plants,Flowers,Flower Centers",24x24,straight,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
botanicals-clo-1-flowering-fern,Flowering Fern,<p>Flowering Fern clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-flowering-fern,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/flowering-fern.jpg,1,Flowering Fern clothing pattern thumbnail,Flowering Fern - Botanicals (CLO-1) Clothing | ColorFlex,Flowering Fern clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,flowering-fern,3,"Flowers,Fiddleheads,Ferns",24x24,straight,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
bombay-clo-1-andheri-star-flower,Andheri Star Flower,<p>Andheri Star Flower clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-andheri-star-flower,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/andheri-star-flower.jpg,1,Andheri Star Flower clothing pattern thumbnail,Andheri Star Flower - Bombay (CLO-1) Clothing | ColorFlex,Andheri Star Flower clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,andheri-star-flower,1,Star Flower,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-bombay-ticking,Bombay Ticking,<p>Bombay Ticking clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-bombay-ticking,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/bombay-ticking.jpg,1,Bombay Ticking clothing pattern thumbnail,Bombay Ticking - Bombay (CLO-1) Clothing | ColorFlex,Bombay Ticking clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,bombay-ticking,1,Stripes,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-delhi-large,Delhi Large,<p>Delhi Large clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-delhi-large,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/delhi-large.jpg,1,Delhi Large clothing pattern thumbnail,Delhi Large - Bombay (CLO-1) Clothing | ColorFlex,Delhi Large clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,delhi-large,2,"Tiny Flower,Floral",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-delhi-mini,Delhi Mini,<p>Delhi Mini clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-delhi-mini,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/delhi-mini.jpg,1,Delhi Mini clothing pattern thumbnail,Delhi Mini - Bombay (CLO-1) Clothing | ColorFlex,Delhi Mini clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,delhi-mini,1,Design,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-tree-of-life,Tree Of Life,<p>Tree Of Life clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-tree-of-life,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/tree-of-life.jpg,1,Tree Of Life clothing pattern thumbnail,Tree Of Life - Bombay (CLO-1) Clothing | ColorFlex,Tree Of Life clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,tree-of-life,1,Layer 1,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-etawah,Etawah,<p>Etawah clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-etawah,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/etawah.jpg,1,Etawah clothing pattern thumbnail,Etawah - Bombay (CLO-1) Clothing | ColorFlex,Etawah clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,etawah,3,"Stems & Leaves,Flowers,Berries",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
